he,-0.200920001,-0.060270999,-0.617659986,-0.844399989,0.578100026,0.146709993,-0.860979974,0.67049998,-0.865559995,-0.182339996,0.158559993,0.458139986,-1.016299963,-0.358740002,0.738690019,-0.240480006,-0.338930011,0.257420003,-0.781920016,0.083527997,0.177499995,0.917729974,0.645309985,-0.198960006,0.374159992,-2.752500057,-0.091586001,0.040348999,-0.064792,-0.314660013,3.394399881,0.044941001,-0.550379992,-0.653339982,0.104359999,0.016394001,0.243880004,1.00849998,0.314119995,-0.338059992,-0.169249997,0.102279998,-0.62142998,0.198290005,-0.361470014,-0.247690007,-0.389889985,-0.333169997,-0.041659001,-0.013171
she,0.060382001,0.378210008,-0.751420021,-0.721589983,0.586480021,0.791260004,-0.729470015,0.682479978,-0.129989997,-0.229880005,0.115950003,0.224270001,-0.44679001,-0.115149997,1.033400059,-0.088018999,-0.78530997,0.343050003,-0.114569999,-0.119050004,0.458829999,1.633299947,0.685459971,0.223079994,1.009899974,-2.63319993,-0.521279991,0.256650001,0.023468001,-0.826160014,3.108400106,0.272190005,-0.292270005,-0.472589999,-0.12297,-0.135450006,0.111919999,0.864380002,0.331209987,-0.966159999,-0.044785,-0.066739999,0.0030367,-0.339049995,0.017783999,-0.584990025,-0.005014,-1.256999969,-0.060722999,0.422470003
president,-0.118749999,0.672200024,0.194440007,0.552690029,0.536979973,-0.372370005,-0.734939992,-0.305750012,-0.926010013,-0.43276,0.026955999,0.668609977,-0.790970027,-0.015931999,0.539179981,0.303409994,-0.670419991,0.0051129,0.622720003,-0.558229983,-0.10887,0.573050022,-0.016148999,-1.188899994,-0.243180007,-2.628900051,0.412620008,-0.129040003,-1.323799968,0.647310019,2.359499931,0.34048,-1.988899946,-0.79084003,-0.797389984,-0.879980028,-0.729910016,0.011697,0.090612002,-0.172869995,-0.832740009,1.193199992,-0.752110004,-1.160300016,-0.100740001,0.602240026,-1.373900056,0.336739987,-0.312240005,0.097583003
minister,0.039930999,0.507250011,-0.186250001,0.322679996,0.654269993,0.202859998,-0.496600002,0.133829996,-1.711199999,-1.094300032,0.10988,0.747129977,-0.327609986,0.663330019,0.606019974,0.362980008,0.547330022,-0.800939977,1.263299942,0.818979979,0.497940004,0.580070019,-0.243259996,-0.726329982,0.829710007,-1.87440002,1.255399942,-0.242060006,-1.128299952,1.833699942,2.896699905,0.067547999,-0.972450018,0.14373,-0.180869997,0.58634001,0.527649999,0.463889986,-0.031851999,0.90933001,-0.397489995,1.665400028,-0.288789988,-1.961500049,0.893559992,0.158350006,-2.187700033,0.931919992,1.906599998,-0.158899993
director,-0.175740004,0.364459991,-0.786580026,0.68581003,0.15354,-0.541649997,-0.711369991,-1.101999998,0.736440003,-0.574029982,0.508019984,1.061300039,-1.09829998,0.457010001,0.501209974,-0.38451001,0.731339991,0.773459971,-0.152500004,0.309960008,0.367020011,0.768230021,-0.298390001,-0.495469987,-0.098021001,-1.630300045,-0.354589999,-0.49011001,-1.722599983,0.036722999,2.385799885,-0.265159994,0.272350013,-1.030699968,-0.769200027,0.041910999,0.087943003,0.52414,1.120900035,0.371740013,-0.216240004,1.308599949,-0.178440005,-1.229799986,0.126959994,-0.374879986,-0.702780008,-0.107670002,-0.117420003,1.762799978
secretary,-0.14508,0.146449998,-0.76128,0.385529995,0.743529975,-0.850690007,-0.365119994,-0.236059994,-0.455980003,-2.253200054,-0.365139991,1.226899981,-0.451700002,0.080076002,0.359059989,0.057693001,0.022399999,-0.300339997,0.779820025,-0.042606,-0.070339002,0.176960006,0.526560009,-1.070700049,0.396649987,-1.800300002,0.945309997,-0.062871002,-1.608299971,0.769490004,2.38319993,-0.346060008,-1.06219995,-0.481849998,-0.407519996,-0.615450025,-0.011299,0.151030004,-0.132210001,0.52838999,-0.857860029,1.155799985,-0.35047999,-1.352399945,0.227050006,0.297509998,-1.335199952,0.560350001,0.277079999,1.1954
coach,-1.319100022,0.500710011,-0.440910012,0.278539985,-0.281670004,-0.773180008,-1.868399978,0.658500016,-1.758100033,-0.934149981,1.172500014,1.140100002,-1.70570004,-0.790790021,1.235299945,0.202199996,0.359950006,0.914420009,-1.025200009,-0.442640007,-2.385400057,0.270660013,-0.289499998,-0.172930002,0.30399999,-1.84829998,0.400810003,0.396010011,-0.48398,-0.268920004,1.900300026,1.057000041,-0.101489998,-0.405429989,0.471480012,0.716780007,0.412539989,1.029299974,0.71875,-0.354880005,-0.280580014,0.595939994,-0.895049989,-0.280629992,0.614139974,0.577229977,-0.192359999,1.100700021,-0.202130005,0.825200021
manager,-0.134399995,0.264809996,-0.290719986,0.925140023,0.575269997,-0.885850012,-1.94509995,0.392699987,-0.853739977,-0.634130001,0.654020011,1.694700003,-1.636399984,-0.664409995,0.619920015,0.202319995,0.407889992,0.744260013,-0.388990015,-0.167099997,-0.154730007,0.0090774,-0.636919975,-0.207139999,-0.594359994,-1.263700008,0.698939979,0.191259995,-0.26967001,-0.131589994,2.312999964,0.253239989,0.58130002,-0.328799993,0.065847002,0.279769987,0.186539993,0.414249986,1.170400023,-0.622500002,0.254119992,0.135169998,-1.205800056,-0.25147,0.327499986,-0.388139993,-0.841369987,0.519519985,0.460379988,1.468500018
judge,-0.41753,-0.77214998,-0.773580015,0.103289999,1.039100051,0.145510003,0.522210002,1.022500038,0.054505002,-0.228430003,-0.451730013,0.474979997,-0.498180002,-0.246739998,1.270499945,-0.122400001,-0.135759994,-1.348700047,0.199599996,-0.855539978,0.559790015,0.665220022,-0.035259001,0.207499996,-0.496160001,-2.551000118,0.194069996,-0.163320005,-1.119600058,-0.5801,1.496299982,-1.607200027,-0.575699985,-1.139000058,0.464450002,-0.928359985,1.084800005,-0.16223,0.489309996,-0.136659995,-0.193660006,1.619899988,0.343030006,0.016868999,-0.653609991,-0.0016779,-0.533399999,-0.608129978,0.253969997,0.962589979
officer,0.048402999,-0.607029974,0.191080004,0.180069998,1.200399995,-0.386429995,-0.343210012,0.39655,0.195099995,-2.093400002,0.398030013,0.722190022,-1.319499969,-0.254460007,-0.120970003,-0.649999976,-0.772949994,0.784160018,-0.682919979,-0.123360001,0.330540001,0.853680015,-0.199650005,-0.355120003,-0.704879999,-2.195800066,0.043191999,-0.616289973,-0.527540028,0.504509985,2.02579999,-0.683920026,-0.125239998,-0.769349992,0.449900001,0.427260011,0.0019608,-0.477400005,0.706449986,0.318179995,0.163790002,0.721870005,-0.0033517,-0.422250003,0.221369997,-0.977569997,-0.428579986,-0.149240002,0.223450005,1.057000041
